episode_id;part_idx;scene_idx;speaker;text;broll_query;title;template_url
dementia_vegetables;1;1;Michael;MYTH: All vegetables are healthy at any age.;;dementia_vegetables_p1;https://app.heygen.com/create-v4/draft?template_id=a7ed9e30c32a4924aefc84ffa9938ab7&private=1
dementia_vegetables;1;2;Hiroshi;REALITY: These five can accelerate dementia after sixty.;;dementia_vegetables_p1;
dementia_vegetables;1;3;Michael;And the worst one? You probably ate it this morning.;;dementia_vegetables_p1;
dementia_vegetables;1;4;Hiroshi;Margaret was sixty-eight... sharp as a blade, ran her own accounting firm, never forgot a birthday or a client meeting.;;dementia_vegetables_p1;
dementia_vegetables;1;5;Michael;What happened to her?;;dementia_vegetables_p1;
dementia_vegetables;1;6;Hiroshi;"She read an article about ""superfoods for aging brains"" — so she started drinking green smoothies every morning... kale, spinach, cucumber, the works. Thought she was doing everything RIGHT.";"green smoothie kale spinach;";dementia_vegetables_p1;
dementia_vegetables;1;7;Michael;And?;;dementia_vegetables_p1;
dementia_vegetables;1;8;Hiroshi;Five years later, at seventy-three... early onset dementia. She couldn't remember her grandchildren's names.;;dementia_vegetables_p1;
dementia_vegetables;1;9;Michael;That's heartbreaking.;;dementia_vegetables_p1;
dementia_vegetables;1;10;Hiroshi;"Her family was devastated. They asked me: ""How? She ate so healthy!""";;dementia_vegetables_p1;
dementia_vegetables;1;11;Michael;"The answer is in those ""healthy"" vegetables.";;dementia_vegetables_p1;
dementia_vegetables;1;12;Hiroshi;In Japan, we warn seniors: avoid these five vegetables after sixty... or your memory WILL pay the price.;;dementia_vegetables_p1;
dementia_vegetables;1;13;Michael;Today we reveal which ones — and WHY your doctor never told you this.;;dementia_vegetables_p1;
dementia_vegetables;1;14;Hiroshi;Let's start with the most SHOCKING one.;;dementia_vegetables_p1;
dementia_vegetables;1;15;Michael;Vegetable number one: SPINACH.;"fresh spinach leaves close;";dementia_vegetables_p1;
dementia_vegetables;1;16;Hiroshi;Wait, wait, wait — spinach?! Michael, that's on EVERY health list for seniors!;;dementia_vegetables_p1;
dementia_vegetables;1;17;Michael;"I know. In America, we call it a ""superfood."" Doctors recommend it for iron, for vitamins, for everything. But in Tokyo? Hiroshi tells elderly patients: this is brain poison after sixty.";;dementia_vegetables_p1;
dementia_vegetables;1;18;Hiroshi;Not an exaggeration.;;dementia_vegetables_p1;
dementia_vegetables;1;19;Michael;Here's what's happening at the molecular level... Spinach is absolutely LOADED with oxalates — these are tiny, razor-sharp crystals. Imagine microscopic shards of glass floating in your bloodstream.;"oxalate crystals microscopic medical;";dementia_vegetables_p1;
dementia_vegetables;1;20;Hiroshi;And those crystals... they attack the brain?;;dementia_vegetables_p1;
