episode_id;part_idx;scene_idx;speaker;text;title;template_url
ep_sauna_danger;1;1;Batya;Мужики знаете что происходит с вашими яйцами при девяноста градусах в бане? Они варятся буквально как куриные в кипятке.;ep_sauna_danger_p1;https://app.heygen.com/create-v4/draft?template_id=8cfc83a22e0e4effa8d12d2632be1872&private=1
ep_sauna_danger;1;2;Batya;И сегодня я покажу почему баня это не здоровье а прямой путь к импотенции. Без всяких там сказок.;ep_sauna_danger_p1;
ep_sauna_danger;1;3;Batya;Смотрите вот термометр показывает девяносто градусов. Как вы думаете что творится с вашими органами при такой жаре внутри тела?;ep_sauna_danger_p1;
ep_sauna_danger;1;4;Batya;Ваши тестикулы рассчитаны работать при тридцати четырех градусах максимум. Не зря они висят снаружи а не запрятаны внутрь живота.;ep_sauna_danger_p1;
ep_sauna_danger;1;5;Batya;Природа специально вынесла их за пределы тела чтобы они были холоднее на три градуса чем всё остальное в организме вашем.;ep_sauna_danger_p1;
ep_sauna_danger;1;6;Batya;А вы берете и жаритесь при девяноста градусах в парилке. Это как двигатель перегреть намеренно. Он потом нормально не заведется.;ep_sauna_danger_p1;
ep_sauna_danger;1;7;Batya;Первое что страдает от перегрева это сперматогенез. Процесс производства сперматозоидов. Он просто останавливается при высокой температуре полностью.;ep_sauna_danger_p1;
ep_sauna_danger;1;8;Batya;Исследования показывают четко: один заход в сауну на тридцать минут и качество спермы падает на сорок процентов сразу же.;ep_sauna_danger_p1;
ep_sauna_danger;1;9;Batya;Сорок процентов потери мужики! И восстанавливается это дело не за день не за два а долгими месяцами терпения.;ep_sauna_danger_p1;
ep_sauna_danger;1;10;Batya;Вы сейчас думаете про себя: ну и ладно мне дети больше не нужны уже. Но это не только про детей.;ep_sauna_danger_p1;
ep_sauna_danger;1;11;Batya;Потому что те же самые клетки которые делают сперматозоиды они же производят тестостерон ваш. Клетки Лейдига называются в медицине.;ep_sauna_danger_p1;
ep_sauna_danger;1;12;Batya;И когда вы перегреваете яйца в бане эти клетки Лейдига тоже страдают сильно. Тестостерон падает на тридцать сорок процентов.;ep_sauna_danger_p1;
ep_sauna_danger;1;13;Batya;Вот вам цифры из университета Хельсинки: тридцать минут при восьмидесяти градусах минус сорок процентов тестостерона в крови немедленно.;ep_sauna_danger_p1;
ep_sauna_danger;1;14;Batya;Восстановление занимает от двух до пяти дней в среднем. Но если вы ходите в баню два раза в неделю постоянно?;ep_sauna_danger_p1;
ep_sauna_danger;1;15;Batya;Тогда ваш тестостерон живет в постоянной яме глубокой. Организм просто не успевает восстановиться между заходами в парилку вашу.;ep_sauna_danger_p1;
ep_sauna_danger;1;16;Batya;А низкий тестостерон это что значит для мужика после пятидесяти лет? Это усталость либидо ноль мышцы слабеют жир растет.;ep_sauna_danger_p1;
ep_sauna_danger;1;17;Batya;И вы думаете что это возраст такой пришел неизбежный. А на самом деле вы сами себя угробили баней еженедельной.;ep_sauna_danger_p1;
