episode_id;part_idx;scene_idx;speaker;text;title;template_url
dangerous_habits_after_60;1;1;Michael;Every year... almost 800,000 Americans have a stroke. Every 40 seconds, someone in the United States has a stroke. And every 3 minutes and 14 seconds... for someone, it's their last.;Dangerous Habits After 60 + Japanese Longevity Secrets;https://app.heygen.com/template/your_template_id
dangerous_habits_after_60;1;2;Hiroshi;And the risk? It DOUBLES every decade after 50.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;3;Michael;Which means if you're over 60... you need to pay attention right now.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;4;Hiroshi;Michael, I need to tell you something. You're doing three things every morning that are aging your cardiovascular system faster than smoking.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;5;Michael;What? I don't even smoke!;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;6;Hiroshi;I know. But your coffee habit? It's worse.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;7;Michael;Okay... you've got my attention. And probably scared everyone watching.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;8;Hiroshi;Good. Because today we're going to show you what 90% of Americans do wrong, and what Japanese centenarians do RIGHT. Simple habits that can cut your stroke risk by up to 40%.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;9;Michael;Even I'm changing my routine after this conversation. And I've been doing it the same way for FORTY YEARS.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;10;Hiroshi;And I want you to do something right now. Think about YOUR morning. Really think about it.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;11;Michael;Yeah, how many of you watching hit snooze, jump out of bed, head straight for the coffee pot before you've even had water?;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;12;Hiroshi;Write in the comments if this sounds like you. Because you're not alone. But by the end of this video, you'll know exactly how to protect yourself.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;13;Michael;Thanks to these Japanese habits that Hiroshi's going to share... you can actually lower your risk. Real, practical changes that work.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;14;Hiroshi;So let's not waste time. Michael, tell them what we're covering today.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;15;Michael;Alright. Hello everyone, Doctor Michael Harris here.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;16;Hiroshi;And Hiroshi Saito. Michael, you remember our argument last week about coffee?;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;17;Michael;How could I forget? You told me I was... what was it... slowly poisoning my patients?;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;18;Hiroshi;I didn't say poisoning... okay, maybe I IMPLIED it.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;19;Michael;Well, today we're tackling the habits that are silently increasing your stroke risk.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;20;Hiroshi;And I'm going to share what people in Japan, who live longer than almost anyone on Earth, do differently. Starting with the morning, because that's where most people are making their biggest, most DANGEROUS mistakes.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;21;Michael;Alright, let me paint a picture. And I want you watching to see if this sounds familiar. 6:30 AM. Alarm goes off. You hit snooze once, maybe twice.;Dangerous Habits After 60 + Japanese Longevity Secrets;
dangerous_habits_after_60;1;22;Hiroshi;Then what happens?;Dangerous Habits After 60 + Japanese Longevity Secrets;
