episode_id;part_idx;scene_idx;speaker;text;title;template_url;;;;;
ep_fruits_danger;1;1;Michael;Hey everyone, Michael Harris here.;ep_fruits_danger_part_1;https://app.heygen.com/create-v4/draft?template_id=c3be33cf12f44a6ba52c82d033a92ec9&private=1;;;;;
ep_fruits_danger;1;2;Hiroshi;And Hiroshi Saito. Today we're talking about something that could save your life.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;3;Michael;Five fruits that can seriously harm people over 60, especially if you're on medications.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;4;Hiroshi;And five fruits that can literally add years to your life.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;5;Michael;I had a patient, 73 years old, religious about taking his statins every morning. Ate healthy, exercised, did everything right. Then one day he woke up and couldn't move his legs.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;6;Hiroshi;Muscle breakdown?;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;7;Michael;Rhabdomyolysis. His kidneys were failing. We ran tests, checked everything. Then I asked about his diet.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;8;Hiroshi;Let me guess. Grapefruit?;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;9;Michael;Half a grapefruit. Every single morning. For six months.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;10;Hiroshi;And nobody told him.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;11;Michael;That's exactly why we're doing this. Because these interactions are common, and most people have no idea.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;12;Hiroshi;So if you're over 60 and taking any prescription medications, you need to hear this.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;13;Michael;We're starting with the five to avoid. Or at least be very careful with. Then we'll get to the five you should be eating every day.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;14;Hiroshi;Let's start with the one that hospitalized your patient. Grapefruit.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;15;Michael;Grapefruit is the big one. And it's not just statins. There are over 85 medications that interact dangerously with grapefruit.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;16;Hiroshi;How does it work?;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;17;Michael;Grapefruit blocks an enzyme in your intestines called CYP3A4. This enzyme breaks down medications. Without it, the drugs stay in your system way too long.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;18;Hiroshi;So instead of one dose, it's like taking three or four?;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;19;Michael;Exactly. With statins, that means muscle breakdown. With blood pressure meds, dangerous drops. With some antidepressants, serious side effects.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;20;Hiroshi;And this effect lasts how long?;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;21;Michael;Up to 24 hours. One glass of grapefruit juice in the morning can affect medications you take that evening.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;22;Hiroshi;In Japan, grapefruit isn't common in traditional diet. We eat mikan, small mandarins. Much safer.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;23;Michael;Smart. Because grapefruit juice is especially concentrated. Some people drink it thinking it's healthy.;ep_fruits_danger_part_1;;;;;;
ep_fruits_danger;1;24;Hiroshi;What medications specifically?;ep_fruits_danger_part_1;;;;;;
