episode_id;part_idx;scene_idx;speaker;text;broll_query;title;template_url
ep_prostate_5ways;2;1;Mandalina;"Есть одна точка, которая напрямую связана с простатой.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;2;Mandalina;"Она находится в области промежности.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;3;Mandalina;"Между анусом и мошонкой. Примерно посередине.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;4;Mandalina;"Когда вы массируете эту точку, улучшается кровообращение в простате.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;5;Mandalina;"Техника простая.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;6;Mandalina;"Нащупайте эту точку пальцем.";man sitting relaxed position privacy home;ep_prostate_5ways_p2;
ep_prostate_5ways;2;7;Mandalina;"Надавливайте с лёгким усилием. Круговыми движениями.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;8;Mandalina;"Одну-две минуты. Каждый день.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;9;Mandalina;"Многие говорят: звучит странно.";skeptical man raised eyebrow doubtful expression;ep_prostate_5ways_p2;
ep_prostate_5ways;2;10;Mandalina;"Но знаете что? Это работает.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;11;Mandalina;"Кстати, если хотите разобраться в массаже для усиления эрекции подробнее — я записала отдельное видео.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;12;Mandalina;"Ссылка будет в описании.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;13;Mandalina;"А теперь способ номер четыре.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;14;Mandalina;"И да, это тот самый приятный способ.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;15;Mandalina;"Способ номер четыре — регулярная эякуляция.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;16;Mandalina;"Я сейчас серьёзно. Как врач-уролог.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;17;Mandalina;"В две тысячи шестнадцатом году Гарвардский университет опубликовал большое исследование.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;18;Mandalina;"Почти тридцать тысяч мужчин наблюдали восемнадцать лет.";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;19;Mandalina;"Результат? Мужчины, которые эякулируют двадцать один раз в месяц или чаще...";;ep_prostate_5ways_p2;
ep_prostate_5ways;2;20;Mandalina;"...имеют на двадцать процентов меньший риск рака простаты.";medical research paper statistics health study;ep_prostate_5ways_p2;
