episode_id,part_idx,scene_idx,text,speaker,broll_query,title,template_url,,brolls
ep_pomegranate,1,1,"Мужчины, шестьдесят восемь процентов моих пациентов после пятидесяти жалуются на слабую эрекцию.",Mandalina,,ep_pomegranate_p1,https://app.heygen.com/create-v4/draft?template_id=aa3dfc0762174de3b09462ae714a0c00&private=1,,
ep_pomegranate,1,2,И знаете что? Большинство из них пьют совершенно не то.,Mandalina,worried man looking anxious concerned expression,ep_pomegranate_p1,,,worried man looking anxious concerned expression
ep_pomegranate,1,3,"Этот напиток улучшает кровоток лучше, чем некоторые таблетки. И он на кухне.",Mandalina,pomegranate juice pouring glass close up macro,ep_pomegranate_p1,,,pomegranate juice pouring glass close up macro
ep_pomegranate,1,4,"Я Мандалина Волкова, уролог. Давайте без стеснения говорить о важном для вас.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,5,"Сначала объясню, почему вообще возникает эта проблема после пятидесяти лет у мужчин.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,6,Эрекция — это про кровоток. Как кровь наполняет половой орган быстро и качественно.,Mandalina,blood flow circulation medical animation,ep_pomegranate_p1,,,blood flow circulation medical animation
ep_pomegranate,1,7,"Представьте садовый шланг. Вода течёт свободно — всё работает отлично, без проблем.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,8,"Теперь представьте: шланг изнутри покрылся налётом. Вода течёт очень медленно, еле-еле.",Mandalina,clogged artery plaque buildup medical visualization,ep_pomegranate_p1,,,clogged artery plaque buildup medical visualization
ep_pomegranate,1,9,Вот именно что происходит с вашими сосудами после пятидесяти лет. Они сужаются.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,10,Сосуды теряют эластичность. На стенках откладывается холестерин. Кровоток замедляется сильно.,Mandalina,blood vessel restriction spasm medical 3d,ep_pomegranate_p1,,,blood vessel restriction spasm medical 3d
ep_pomegranate,1,11,"И первое, где вы это чувствуете на себе — это интимная жизнь.",Mandalina,tired middle aged man rubbing eyes exhausted,ep_pomegranate_p1,,,tired middle aged man rubbing eyes exhausted
ep_pomegranate,1,12,"Но есть одно вещество, которое расширяет эти сосуды совершенно естественным путём.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,13,"Называется оксид азота. Это как команда вашим сосудам: расслабьтесь, расширьтесь сейчас.",Mandalina,blood flow penis erectile function medical visualization,ep_pomegranate_p1,,,blood flow penis erectile function medical visualization
ep_pomegranate,1,14,Чем больше оксида азота — тем лучше кровоток работает. Тем крепче ваша эрекция.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,15,И вот тут появляется наш настоящий герой. Это обычный гранатовый сок.,Mandalina,pomegranate seeds close up macro fresh,ep_pomegranate_p1,,,pomegranate seeds close up macro fresh
ep_pomegranate,1,16,В гранате содержатся полифенолы. Это очень мощные антиоксиданты для вашего организма.,Mandalina,pomegranate juice pouring glass vibrant red,ep_pomegranate_p1,,,pomegranate juice pouring glass vibrant red
ep_pomegranate,1,17,Они запускают выработку оксида азота прямо в стенках ваших кровеносных сосудов.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,18,Исследование показало: четыре недели приёма — улучшение у шестидесяти восьми процентов мужчин.,Mandalina,medical research laboratory scientist analysis,ep_pomegranate_p1,,,medical research laboratory scientist analysis
ep_pomegranate,1,19,"Шестьдесят восемь процентов! Это гораздо больше, чем у многих дорогих добавок сейчас.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,20,Но важно понимать: не любой сок работает правильно. Есть три строгих правила.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,21,Правило первое: только стопроцентный натуральный сок. Никаких нектаров из магазина.,Mandalina,pomegranate juice bottle store shelf variety,ep_pomegranate_p1,,,pomegranate juice bottle store shelf variety
ep_pomegranate,1,22,"Нектар — это обычная вода, сахар и десять процентов сока. Толку абсолютно ноль.",Mandalina,sugar cubes pile refined white crystals,ep_pomegranate_p1,,,sugar cubes pile refined white crystals
ep_pomegranate,1,23,"Ищите на этикетке надпись: сто процентов гранатовый сок, без добавленного сахара вообще.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,24,Правило второе: правильная дозировка. Двести-двести пятьдесят миллилитров каждый день обязательно.,Mandalina,pomegranate juice glass measurement pouring,ep_pomegranate_p1,,,pomegranate juice glass measurement pouring
ep_pomegranate,1,25,"Это ровно один стакан среднего размера. Не больше этого, не меньше совсем.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,26,"Меньше — недостаточно полифенолов попадёт. Больше — слишком много сахара, даже натурального.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,27,Правило третье: время приёма очень важно. За один-два часа до близости.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,28,Именно в этот момент концентрация полифенолов в крови достигает своего максимального пика.,Mandalina,blood flow circulation medical animation timing,ep_pomegranate_p1,,,blood flow circulation medical animation timing
ep_pomegranate,1,29,Сосуды расширяются максимально сильно. Эффект держится стабильно три-четыре часа подряд.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,30,"Если пьёте для профилактики каждый день — тогда лучше утром, строго натощак.",Mandalina,man drinking juice morning sunlight kitchen,ep_pomegranate_p1,,,man drinking juice morning sunlight kitchen
ep_pomegranate,1,31,"Кстати, если вы досмотрели до этого момента — вы большой молодец сейчас.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,32,"Расскажу вам два секрета, как усилить эффект гранатового сока в несколько раз.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,33,Секрет первый: правильная комбинация с грецкими орехами. Они содержат аргинин.,Mandalina,walnuts wooden table healthy snack macro shot,ep_pomegranate_p1,,,walnuts wooden table healthy snack macro shot
ep_pomegranate,1,34,"Аргинин — это строительный материал, из которого тело производит оксид азота.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,35,Гранат запускает выработку оксида. Орехи дают материал. Вместе они работают мощнее.,Mandalina,protein molecules building tissue 3d medical animation,ep_pomegranate_p1,,,protein molecules building tissue 3d medical animation
ep_pomegranate,1,36,Съедайте одну горсть орехов сразу после сока. Примерно тридцать граммов будет достаточно.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,37,Секрет второй: добавьте тёмный шоколад. Минимум семьдесят процентов какао обязательно должно быть.,Mandalina,dark chocolate bar broken pieces cocoa,ep_pomegranate_p1,,,dark chocolate bar broken pieces cocoa
ep_pomegranate,1,38,В какао содержатся флавоноиды. Они тоже очень хорошо расширяют сосуды в организме.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,39,Плюс шоколад улучшает настроение быстро. А хорошее настроение важно для либидо мужчины.,Mandalina,happy healthy senior man smiling confident energy,ep_pomegranate_p1,,,happy healthy senior man smiling confident energy
ep_pomegranate,1,40,Двадцать-тридцать граммов шоколада через час после сока. Обязательно попробуйте это сочетание.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,41,"Важно понимать: это не волшебная таблетка вообще. Эффект накопительный, постепенный.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,42,Первые улучшения вы заметите через одну-две недели. Максимум через четыре недели.,Mandalina,calendar month timeline progression medical schedule,ep_pomegranate_p1,,,calendar month timeline progression medical schedule
ep_pomegranate,1,43,Пейте каждый день регулярно. Без пропусков вообще. Сосуды должны привыкнуть работать правильно.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,44,"Но есть важные противопоказания. Слушайте внимательно, это критически важно для здоровья.",Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,45,Первое: если у вас диабет любого типа. Гранатовый сок повышает сахар.,Mandalina,blood glucose test meter medical device diabetes,ep_pomegranate_p1,,,blood glucose test meter medical device diabetes
ep_pomegranate,1,46,Перед приёмом обязательно проконсультируйтесь с вашим эндокринологом. Это очень важно сейчас.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,47,Второе: если принимаете любые препараты для давления. Гранат сильно усиливает их действие.,Mandalina,blood pressure medication pills bottle pharmacy,ep_pomegranate_p1,,,blood pressure medication pills bottle pharmacy
ep_pomegranate,1,48,Давление может упасть слишком резко и сильно. Это опасно для вашей жизни.,Mandalina,,ep_pomegranate_p1,,,
ep_pomegranate,1,49,Третье: если пьёте статины от холестерина постоянно. Возможно серьёзное взаимодействие препаратов.,Mandalina,medication pills capsules variety pharmaceutical medical,ep_pomegranate_p1,,,medication pills capsules variety pharmaceutical medical
ep_pomegranate,1,50,В любом из этих трёх случаев — сначала идите к врачу обязательно.,Mandalina,,ep_pomegranate_p1,,,
