episode_id,part_idx,scene_idx,text,speaker,broll_query,title,template_url,,brolls
ep_acupoint_erection,1,1,Если вы сейчас гуглите точки для потенции — остановитесь немедленно прямо сейчас.,Mandalina,,ep_acupoint_p1,https://app.heygen.com/create-v4/draft?template_id=aa3dfc0762174de3b09462ae714a0c00&private=1,,
ep_acupoint_erection,1,2,Девяносто процентов статей в интернете показывают абсолютно неправильное место на теле.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,3,Я — уролог Мандалина Волкова. За десять лет я видела всё возможное.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,4,"Мужчины массируют что угодно на теле, кроме единственной нужной точки для эффекта.",Mandalina,man touching wrong body area confused,ep_acupoint_p1,,,man touching wrong body area confused
ep_acupoint_erection,1,5,Сегодня я покажу точное расположение этой точки. Как найти за три секунды.,Mandalina,acupuncture point chart body map medical,ep_acupoint_p1,,,acupuncture point chart body map medical
ep_acupoint_erection,1,6,И самое главное — как правильно массировать для максимального эффекта от практики.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,7,"Это абсолютно безопасно для здоровья. Без побочных эффектов совсем, в отличие от таблеток.",Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,8,И ваша партнёрша точно заметит разницу через две недели регулярного массажа точки.,Mandalina,happy couple embracing intimate moment,ep_acupoint_p1,,,happy couple embracing intimate moment
ep_acupoint_erection,1,9,Но сначала разберёмся — почему это вообще работает на уровне физиологии организма.,Mandalina,,ep_acupoint_p1,,,
ep_acupoint_erection,1,10,Потому что без понимания механизма действия никакого реального эффекта не будет совсем.,Mandalina,,ep_acupoint_p1,,,
ep_sauna_danger,1,1,Мужики знаете что происходит с вашими яйцами при девяноста градусах в бане? Они варятся буквально как куриные в кипятке.,Batya,,ep_sauna_danger_p1,https://app.heygen.com/create-v4/draft?template_id=8cfc83a22e0e4effa8d12d2632be1872&private=1,,
ep_sauna_danger,1,2,И сегодня я покажу почему баня это не здоровье а прямой путь к импотенции. Без всяких там сказок.,Batya,,ep_sauna_danger_p1,,,
ep_sauna_danger,1,3,Смотрите вот термометр показывает девяносто градусов. Как вы думаете что творится с вашими органами при такой жаре внутри тела?,Batya,,ep_sauna_danger_p1,,,
